episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg)
254,997.7,24.0,0.07865099717364837,997.9119999999999,21.88
255,997.9,22.0,0.07786448720191189,997.9159999999999,21.84
256,997.9,22.0,0.07708584232989277,997.91,21.9
257,997.9,22.0,0.07631498390659384,997.918,21.82
258,997.3,28.0,0.07555183406752791,997.9060000000001,21.94
259,997.9,22.0,0.07479631572685264,997.9060000000001,21.94
260,998.1,20.0,0.07404835256958411,997.9099999999999,21.9
261,997.9,22.0,0.07330786904388827,997.9060000000001,21.94
262,997.9,22.0,0.07257479035344938,997.9060000000001,21.94
263,998.1,20.0,0.07184904244991488,997.9060000000001,21.94
264,998.1,20.0,0.07113055202541574,997.9099999999999,21.9
265,997.9,22.0,0.07041924650516158,997.91,21.9
266,998.1,20.0,0.06971505404010997,997.9220000000001,21.78
267,997.7,24.0,0.06901790349970886,997.918,21.82
268,997.9,22.0,0.06832772446471178,997.9179999999999,21.82
269,997.9,22.0,0.06764444722006466,997.9140000000001,21.86
270,998.1,20.0,0.066968002747864,997.908,21.92
271,998.1,20.0,0.06629832272038537,997.9119999999999,21.88
272,997.9,22.0,0.06563533949318151,997.924,21.76
273,998.1,20.0,0.06497898609824969,997.928,21.72
274,997.9,22.0,0.0643291962372672,997.924,21.76
275,998.1,20.0,0.06368590427489453,997.928,21.72
276,997.5,26.0,0.06304904523214558,997.92,21.8
277,997.9,22.0,0.06241855477982412,997.9200000000002,21.8
278,997.9,22.0,0.06179436923202588,997.936,21.64
279,998.1,20.0,0.06117642553970562,997.92,21.8
280,998.1,20.0,0.06056466128430856,997.92,21.8
281,997.5,26.0,0.05995901467146548,997.908,21.92
282,998.1,20.0,0.05935942452475082,997.908,21.92
283,997.9,22.0,0.058765830279503314,997.904,21.96
284,998.1,20.0,0.05817817197670828,997.908,21.92
285,997.9,22.0,0.057596390256941195,997.904,21.96
286,998.1,20.0,0.05702042635437178,997.9040000000001,21.96
287,997.5,26.0,0.05645022209082806,997.896,22.04
288,997.7,24.0,0.05588571986991978,997.8919999999999,22.08
289,998.1,20.0,0.055326862671220584,997.896,22.04
290,997.5,26.0,0.05477359404450838,997.888,22.12
291,997.7,24.0,0.054225858104063294,997.8879999999999,22.12
292,998.1,20.0,0.05368359952302266,997.8919999999999,22.08
293,998.1,20.0,0.053146763527792434,997.896,22.04
294,998.1,20.0,0.052615295892514506,997.896,22.04
295,998.1,20.0,0.052089142933589364,997.9,22.0
296,998.1,20.0,0.05156825150425347,997.904,21.96
297,998.1,20.0,0.051052568989210935,997.9119999999999,21.88
298,998.1,20.0,0.05054204329931883,997.9159999999999,21.84
299,998.1,20.0,0.05003662286632564,997.92,21.8
300,997.9,22.0,0.04953625663766238,997.916,21.84
301,998.1,20.0,0.04904089407128576,997.9240000000001,21.76
302,998.1,20.0,0.0485504851305729,997.9359999999999,21.64
303,998.1,20.0,0.048064980279267165,997.94,21.6
304,998.1,20.0,0.04758433047647449,997.9479999999999,21.52
305,997.9,22.0,0.04710848717170975,997.948,21.52
306,998.1,20.0,0.04663740229999265,997.952,21.48
307,998.1,20.0,0.04617102827699272,997.956,21.44
308,998.1,20.0,0.045709317994222794,997.972,21.28
309,997.5,26.0,0.04525222481428057,997.9639999999999,21.36
310,997.7,24.0,0.04479970256613776,997.9559999999999,21.44
311,997.9,22.0,0.04435170554047638,997.956,21.44
312,997.9,22.0,0.043908188485071616,997.956,21.44
313,998.1,20.0,0.0434691066002209,997.956,21.44
314,997.7,24.0,0.04303441553421869,997.9479999999999,21.52
315,998.1,20.0,0.0426040713788765,997.952,21.48
316,998.1,20.0,0.04217803066508773,997.9519999999998,21.48
317,998.1,20.0,0.04175625035843686,997.96,21.4
318,998.1,20.0,0.041338687854852486,997.9639999999999,21.36
319,998.1,20.0,0.04092530097630396,997.9679999999998,21.32
320,997.9,22.0,0.040516047966540916,997.9639999999999,21.36
321,998.1,20.0,0.04011088748687551,997.9639999999999,21.36
322,997.9,22.0,0.03970977861200675,997.9639999999999,21.36
323,998.1,20.0,0.03931268082588668,997.9639999999999,21.36
324,998.1,20.0,0.03891955401762781,997.9679999999998,21.32
325,998.1,20.0,0.03853035847745153,997.9679999999998,21.32
326,998.1,20.0,0.03814505489267701,997.98,21.2
327,998.1,20.0,0.03776360434375024,997.9839999999999,21.16
328,997.9,22.0,0.03738596830031274,997.9839999999999,21.16
329,997.9,22.0,0.03701210861730961,997.98,21.2
330,997.9,22.0,0.03664198753113651,997.9760000000001,21.24
331,998.1,20.0,0.036275567655825146,997.9879999999998,21.12
332,998.1,20.0,0.03591281197926689,997.9879999999998,21.12
333,998.1,20.0,0.035553683859474224,997.9919999999998,21.08
334,997.9,22.0,0.03519814702087948,997.988,21.12
335,999.5,6.0,0.03484616555067068,998.0200000000001,20.8
336,998.1,20.0,0.034497703895163975,998.0199999999999,20.8
337,998.1,20.0,0.03415272685621234,998.0319999999998,20.68
338,997.9,22.0,0.03381119958765021,998.0360000000001,20.64
339,998.1,20.0,0.03347308759177371,998.0360000000001,20.64
340,998.1,20.0,0.03313835671585597,998.0479999999999,20.52
341,998.1,20.0,0.03280697314869741,998.056,20.44
342,998.1,20.0,0.032478903417210436,998.0559999999999,20.44
343,998.1,20.0,0.032154114383038335,998.056,20.44
344,998.1,20.0,0.03183257323920795,998.0559999999999,20.44
345,998.1,20.0,0.03151424750681587,998.056,20.44
346,998.1,20.0,0.03119910503174771,998.056,20.44
347,997.9,22.0,0.030887113981430233,998.0520000000001,20.48
348,998.1,20.0,0.03057824284161593,998.0520000000001,20.48
349,997.9,22.0,0.03027246041319977,998.048,20.52
350,997.9,22.0,0.029969735809067772,998.0480000000002,20.52
351,998.1,20.0,0.029670038450977095,998.048,20.52
352,998.1,20.0,0.029373338066467324,998.0479999999999,20.52
